network,crowd,image,true_label,0_cnn,1_cnn,2_cnn,3_cnn,4_cnn,5_cnn,6_cnn,7_cnn,8_cnn,9_cnn,predicted_label_cnn,confidence_cnn,0_rf,1_rf,2_rf,3_rf,4_rf,5_rf,6_rf,7_rf,8_rf,9_rf,predicted_label_rf,confidence_rf
1,1,0,3.0,0.0007613733,0.0006634986,0.67561466,0.3119418,0.0001508827,0.009787697,0.00024927975,0.00014947302,0.0005015222,0.00017981259,2.0,0.80810297,,,,,,,,,,,,
1,1,1,5.0,0.5668025,0.021189952,0.00088170805,0.011493212,0.00059185346,0.20752293,0.16975449,0.00055084843,0.016548844,0.004663661,0.0,0.8444539,0.17350000000000002,0.013333333333333332,0.03866666666666667,0.05083333333333333,0.1175,0.3749761904761905,0.10316666666666667,0.04816666666666666,0.07785714285714286,0.002,5.0,0.3749761904761905
1,1,2,9.0,0.0030049041,0.00066104037,5.951722e-05,0.0008316665,0.01253767,0.0036229382,0.0021020598,0.0030471443,0.00094808725,0.97318494,9.0,0.65240455,,,,,,,,,,,,
1,1,3,7.0,0.0023866063,0.00093900046,4.9879643e-05,4.1290117e-05,0.010376299,0.0001419769,4.5660538e-05,0.91112345,0.00026869663,0.074627124,7.0,0.8843244,,,,,,,,,,,,
1,1,4,9.0,0.03012522,0.013700542,0.00030039973,0.0060454174,0.042307105,0.042096116,0.13471203,0.007781619,0.01585204,0.7070795,9.0,0.6873844,,,,,,,,,,,,
1,1,5,9.0,0.013857881,0.009160751,0.0030683018,0.0058188317,0.084932394,0.013479662,0.041570533,0.016438544,0.012399278,0.79927385,9.0,0.63587356,,,,,,,,,,,,
1,1,6,6.0,0.0019478566,0.0056619686,0.0047271526,0.0005793112,0.0024616444,0.004503976,0.9762171,0.0004905523,0.002169288,0.0012411141,6.0,0.8309859,,,,,,,,,,,,
1,1,7,4.0,0.0021273943,0.0003588984,0.00019190628,6.3166306e-05,0.9179373,0.0003446379,0.0010867537,0.009882581,0.00062409265,0.06738337,4.0,0.83061904,,,,,,,,,,,,
1,1,8,0.0,0.99952084,8.352477e-05,1.1226899e-05,3.457941e-05,1.0474954e-05,0.00012297192,5.4178985e-05,2.895892e-06,0.00015751075,1.8202172e-06,0.0,0.9498828,,,,,,,,,,,,
1,1,9,1.0,0.009540226,0.5866878,0.09228444,0.15193975,0.016121343,0.03247265,0.030317329,0.019323979,0.041705728,0.01960665,1.0,0.78718215,0.0,0.9224761904761904,0.045,0.004,0.003333333333333333,0.008333333333333333,0.0,0.006857142857142857,0.01,0.0,1.0,0.9224761904761904
1,1,10,6.0,1.9240328e-05,0.00014269704,8.94389e-05,4.2032218e-07,8.683348e-06,1.5265086e-05,0.9997163,6.848676e-07,5.112442e-06,2.099069e-06,6.0,0.97979844,,,,,,,,,,,,
