bins,accuracy,confidence,count,model_batch
"(0.0, 0.1]",,,0,Ensemble
"(0.1, 0.2]",0.0,0.2,1,Ensemble
"(0.2, 0.3]",0.6666666666666666,0.26666666666666666,6,Ensemble
"(0.3, 0.4]",0.6,0.372,10,Ensemble
"(0.4, 0.5]",0.6923076923076923,0.4538461538461539,13,Ensemble
"(0.5, 0.6]",0.8947368421052632,0.5684210526315789,19,Ensemble
"(0.6, 0.7]",1.0,0.6536842105263158,19,Ensemble
"(0.7, 0.8]",1.0,0.7725925925925926,27,Ensemble
"(0.8, 0.9]",1.0,0.8587234042553191,47,Ensemble
"(0.9, 1.0]",0.9936708860759493,0.9689873417721518,158,Ensemble
"(0.0, 0.1]",,,0,cnn_Epoch16_Batch32
"(0.1, 0.2]",,,0,cnn_Epoch16_Batch32
"(0.2, 0.3]",,,0,cnn_Epoch16_Batch32
"(0.3, 0.4]",,,0,cnn_Epoch16_Batch32
"(0.4, 0.5]",0.0,0.4671303927898407,4,cnn_Epoch16_Batch32
"(0.5, 0.6]",0.3333333333333333,0.5433291792869568,6,cnn_Epoch16_Batch32
"(0.6, 0.7]",0.875,0.6385282278060913,8,cnn_Epoch16_Batch32
"(0.7, 0.8]",0.4,0.73785799741745,10,cnn_Epoch16_Batch32
"(0.8, 0.9]",0.7272727272727273,0.843018114566803,11,cnn_Epoch16_Batch32
"(0.9, 1.0]",0.9616858237547893,0.9932743310928345,261,cnn_Epoch16_Batch32
"(0.0, 0.1]",,,0,RandomForest
"(0.1, 0.2]",0.375,0.19,8,RandomForest
"(0.2, 0.3]",0.5952380952380952,0.2690476190476191,42,RandomForest
"(0.3, 0.4]",0.6842105263157895,0.3621052631578947,38,RandomForest
"(0.4, 0.5]",0.8653846153846154,0.4596153846153846,52,RandomForest
"(0.5, 0.6]",0.9803921568627451,0.5556862745098039,51,RandomForest
"(0.6, 0.7]",0.9736842105263158,0.6573684210526316,38,RandomForest
"(0.7, 0.8]",0.9696969696969697,0.7533333333333333,33,RandomForest
"(0.8, 0.9]",1.0,0.8633333333333333,24,RandomForest
"(0.9, 1.0]",1.0,0.9485714285714285,14,RandomForest
